[437.195, -50.004, 570.37, 177.131, -1.512, -2.359]
[447.195, -50.004, 570.37, 177.132, -1.512, -2.359]
[447.195, -40.007, 570.37, 177.132, -1.512, -2.359]
[447.195, -40.005, 580.37, 177.132, -1.512, -2.359]
[447.195, -70.004, 580.37, -172.868, -1.512, -2.359]
[447.195, -100.004, 580.37, -172.868, -1.512, -2.359]
[447.195, -20.005, 580.37, 167.133, -1.512, -2.359]
[447.195, 19.993, 580.37, 167.132, -1.512, -2.359]
[487.195, -50.003, 570.37, 177.131, 8.488, -2.359]
[487.195, -30.007, 570.37, 177.132, 8.488, -2.359]
[487.194, -30.004, 590.37, 177.132, 8.488, -2.359]
[487.195, -80.004, 590.369, -172.868, 8.488, -2.359]
[487.196, -110.002, 590.37, -172.868, 8.488, -2.359]
[487.195, -30.005, 590.371, 167.133, 8.488, -2.359]
[487.196, 9.993, 590.371, 167.132, 8.488, -2.359]
[387.195, -50.003, 570.371, 177.132, -11.512, -2.359]
[387.195, -30.006, 570.37, 177.132, -11.512, -2.359]
[387.195, -30.005, 590.37, 177.132, -11.512, -2.359]
[387.195, -80.004, 590.37, -172.868, -11.511, -2.359]
[387.195, -110.004, 590.369, -172.868, -11.512, -2.358]
[387.195, -30.005, 590.37, 167.133, -11.512, -2.359]
[387.195, 9.994, 590.37, 167.132, -11.512, -2.359]
